City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Saint-Joseph,-21.37,55.62,75.2,83,0,4.7,RE,1608492519
Palimbang,6.21,124.19,80.24,74,65,3.04,PH,1608492519
Mattru,7.62,-11.83,77.9,85,5,3.58,SL,1608492519
Nemuro,43.32,145.57,25.43,86,0,14.97,JP,1608492519
Emerald,-23.53,148.17,77.0,83,75,11.41,AU,1608492519
Rocha,-34.48,-54.33,65.86,54,80,20.07,UY,1608492519
San Juan de Arama,3.35,-73.89,83.43,61,39,7.65,CO,1608492519
Dzilam González,21.28,-88.93,85.75,54,17,3.22,MX,1608492519
Bhatkal,13.97,74.57,77.85,61,1,12.33,IN,1608492520
Natal,-5.79,-35.21,84.2,66,75,16.11,BR,1608492520
Częstochowa,50.8,19.12,36.0,94,90,6.93,PL,1608492520
Kirensk,57.79,108.11,1.0,92,100,1.59,RU,1608492520
Kalmunai,7.42,81.82,77.27,87,100,12.03,LK,1608492385
Chegdomyn,51.12,133.02,-21.33,85,16,1.32,RU,1608492520
Lavrentiya,65.58,-171.0,-10.5,87,0,12.68,RU,1608492520
Prado,-17.34,-39.22,81.7,70,91,16.89,BR,1608492327
Te Anau,-45.42,167.72,47.52,92,100,0.54,NZ,1608492520
Rondonópolis,-16.47,-54.64,95.13,35,100,5.03,BR,1608492520
Washougal,45.58,-122.35,51.01,97,100,1.9,US,1608492493
Kruisfontein,-34.0,24.73,72.0,85,50,1.99,ZA,1608492520
Paignton,50.44,-3.57,46.0,92,100,5.01,GB,1608492350
Skogn,63.7,11.2,48.2,74,0,24.16,NO,1608492521
Raglan,-37.8,174.88,64.99,90,49,4.0,NZ,1608492521
Geraldton,-28.77,114.6,60.8,82,0,9.17,AU,1608492521
Dunedin,-45.87,170.5,53.01,84,100,4.0,NZ,1608492420
Slave Lake,55.28,-114.77,33.8,86,90,23.04,CA,1608492521
Tazovsky,67.47,78.7,-31.5,84,25,9.01,RU,1608492522
Oron,4.83,8.23,80.2,81,0,6.96,NG,1608492522
Daru,-9.08,143.21,77.95,76,0,3.87,PG,1608492522
Burē,10.7,37.07,65.8,42,86,6.04,ET,1608492522
Ust'-Kulom,61.69,53.69,12.87,96,100,5.91,RU,1608492522
Pandan,14.05,124.17,79.39,85,100,13.91,PH,1608492522
Ashquelon,31.67,34.57,59.0,82,0,2.24,IL,1608492523
Bodden Town,19.28,-81.25,84.2,74,40,11.41,KY,1608492523
Anloga,5.79,0.9,82.4,83,20,11.41,GH,1608492523
Grindavik,63.84,-22.43,33.8,80,40,24.16,IS,1608492523
Korla,41.76,86.15,17.24,90,0,1.21,CN,1608492523
Vanimo,-2.67,141.3,78.8,83,96,3.18,PG,1608492524
Qui Nhon,13.77,109.23,70.03,87,100,24.36,VN,1608492524
São José da Laje,-9.01,-36.06,84.2,66,20,9.17,BR,1608492524
Batagay,67.63,134.63,-41.21,79,99,1.32,RU,1608492524
Taoudenni,22.68,-3.98,65.37,31,0,10.38,ML,1608492524
La Santisima Trinidad,-14.83,-64.9,93.2,56,40,11.41,BO,1608492524
Sisimiut,66.94,-53.67,15.4,82,100,14.09,GL,1608492524
Taşca,46.9,26.02,32.0,86,91,4.0,RO,1608492524
Kaitangata,-46.28,169.85,55.0,87,100,15.99,NZ,1608492525
Khāsh,28.22,61.22,44.6,60,0,5.3,IR,1608492352
Viedma,-40.81,-63.0,80.01,25,0,1.01,AR,1608492525
Laas,46.62,10.7,39.0,86,75,2.26,IT,1608492525
Guerrero Negro,27.98,-114.06,69.44,24,100,2.15,MX,1608492525
Nicolet,46.22,-72.62,30.2,92,100,2.24,CA,1608492525
Berdigestyakh,62.1,126.7,-28.28,84,100,2.28,RU,1608492525
Oudtshoorn,-33.59,22.2,68.0,88,9,11.41,ZA,1608492525
Chagoda,59.16,35.33,33.66,97,100,5.75,RU,1608492525
Byron Bay,-28.65,153.62,73.4,94,90,5.73,AU,1608492302
Vostok,46.49,135.88,-10.77,92,99,5.79,RU,1608492525
Marovoay,-16.1,46.63,77.0,83,40,6.93,MG,1608492525
Evensk,61.95,159.23,5.88,93,100,21.12,RU,1608492526
Biograd na Moru,43.94,15.45,46.99,93,20,2.24,HR,1608492526
St. George's,12.06,-61.75,86.0,74,20,16.11,GD,1608492259
Mogadishu,2.04,45.34,79.92,84,0,16.53,SO,1608492526
Lahaina,20.88,-156.68,80.6,65,40,14.99,US,1608492484
Pervomayskoye,43.92,46.71,40.28,92,100,7.09,RU,1608492526
Kazlų Rūda,54.77,23.5,35.6,96,90,5.82,LT,1608492526
Jalu,29.03,21.55,57.88,60,0,10.04,LY,1608492526
Ha Tinh,18.33,105.9,57.0,61,99,7.36,VN,1608492526
Koumac,-20.57,164.28,76.12,72,21,2.62,NC,1608492526
Meerane,50.85,12.47,39.2,71,100,5.82,DE,1608492527
Tezu,27.92,96.17,58.84,35,0,3.91,IN,1608492527
Yüksekova,37.57,44.29,26.6,92,20,4.7,TR,1608492527
Farah,32.5,62.5,44.01,71,0,3.56,AF,1608492313
San Miguel de Tucumán,-26.82,-65.22,86.0,27,0,4.7,AR,1608492527
Bol,13.46,14.71,76.75,45,63,7.58,TD,1608492527
Valparaíso,-33.04,-71.63,78.8,38,0,13.87,CL,1608492443
Simpang,-1.27,104.08,75.42,94,80,3.36,ID,1608492527
Moussoro,13.64,16.49,75.45,18,0,9.75,TD,1608492527
North Bend,43.41,-124.22,57.0,100,90,13.87,US,1608492527
Russell,32.35,-85.2,55.99,87,90,3.36,US,1608492527
Pangkalanbuun,-2.68,111.62,73.99,98,100,2.53,ID,1608492491
Valley City,46.92,-98.0,30.2,86,20,11.41,US,1608492527
Karwar,14.8,74.13,75.16,64,26,9.1,IN,1608492386
Stokmarknes,68.56,14.91,44.6,87,75,18.34,NO,1608492528
Leningradskiy,69.38,178.42,-1.91,90,100,7.78,RU,1608492528
Kärdla,59.0,22.75,37.0,95,100,8.01,EE,1608492528
Prince Albert,53.2,-105.77,14.0,85,90,9.17,CA,1608492528
Moroni,-11.7,43.26,80.74,74,3,1.54,KM,1608492528
Dunda,-8.12,34.25,68.09,84,5,0.63,TZ,1608492528
Nantucket,41.28,-70.1,48.2,81,20,10.29,US,1608492528
Kahului,20.89,-156.47,75.2,78,40,11.41,US,1608492264
Port Blair,11.67,92.75,79.86,79,1,13.31,IN,1608492528
Fairbanks,64.84,-147.72,-4.0,76,90,1.74,US,1608492528
Schöneiche,52.47,13.68,41.0,80,0,8.05,DE,1608492528
Ongandjera,-17.88,15.07,87.19,27,100,10.94,NA,1608492529
Bilma,18.69,12.92,64.27,28,0,3.42,NE,1608492529
Buraidah,26.33,43.98,60.8,82,75,11.41,SA,1608492529
Shimoda,34.67,138.95,41.07,68,4,13.09,JP,1608492529
Jimeta,9.28,12.47,81.48,17,0,0.67,NG,1608492529
Tcholliré,8.4,14.17,76.93,19,16,1.32,CM,1608492436
Korsakovo,53.27,37.36,22.96,98,88,7.38,RU,1608492529
Sirte,31.21,16.59,63.9,61,0,14.9,LY,1608492529
Homer,59.64,-151.55,30.2,92,75,5.82,US,1608492529
Puerto Princesa City,9.74,118.74,82.4,83,20,6.93,PH,1608492529
Maamba,-17.37,27.15,74.25,81,100,3.22,ZM,1608492529
Yekaterinogradskaya,43.76,44.23,32.0,94,90,4.5,RU,1608492529
Camacha,33.08,-16.33,60.8,77,20,2.24,PT,1608492530
Tocopilla,-22.09,-70.2,70.95,48,86,6.58,CL,1608492530
Sur,22.57,59.53,70.68,68,1,9.35,OM,1608492530
San Matías,-16.37,-58.4,102.06,28,74,5.95,BO,1608492530
Gornoye Loo,43.71,39.6,44.6,87,90,4.47,RU,1608492530
Gao,16.64,1.64,78.75,17,47,7.45,ML,1608492530
Hatten,53.02,8.35,48.0,87,20,9.17,DE,1608492530
Skrunda,56.68,22.02,35.6,93,81,6.93,LV,1608492530
Palmer,42.16,-72.33,32.0,68,90,6.71,US,1608492530
Artvin Province,41.17,41.83,46.4,81,75,18.34,TR,1608492531
Hofn,64.25,-15.21,35.96,78,100,7.16,IS,1608492531
Mopti,14.67,-4.0,80.6,32,0,12.75,ML,1608492531
Mayna,54.11,47.62,-0.36,93,0,6.26,RU,1608492531
San Policarpo,12.18,125.51,80.76,83,100,13.69,PH,1608492531
Tabuk,17.42,121.44,70.84,92,100,3.6,PH,1608492531
Aranos,-24.13,19.12,75.18,61,100,8.95,NA,1608492531
Kintampo,8.06,-1.73,87.15,30,71,1.95,GH,1608492531
Murovani Kurylivtsi,48.72,27.52,33.01,93,94,3.0,UA,1608492531
Zorritos,-3.68,-80.68,82.4,69,40,9.17,PE,1608492531
Kaka,37.35,59.61,36.09,82,0,7.61,TM,1608492532
Flinders,-34.58,150.86,66.0,91,100,1.01,AU,1608492532
Nueva Guinea,11.69,-84.46,82.56,71,7,12.12,NI,1608492532
Lensk,60.73,114.93,-4.67,88,100,9.57,RU,1608492532
Rodolfo Sánchez Taboada,31.72,-116.57,75.99,5,0,5.01,MX,1608492532
Esim,4.87,-2.24,80.17,79,89,5.06,GH,1608492532
Barra de Tecoanapa,16.52,-98.75,85.77,56,100,9.57,MX,1608492532
Dalby,-27.18,151.27,72.0,83,37,1.01,AU,1608492533
Miles City,46.41,-105.84,51.8,37,1,26.4,US,1608492533
Petra,30.32,35.48,51.69,55,0,3.91,JO,1608492533
Kingman,35.19,-114.05,57.0,25,1,5.82,US,1608492461
Rawson,-43.3,-65.1,75.88,25,3,5.7,AR,1608492533
Egvekinot,66.32,-179.17,-13.38,85,10,14.41,RU,1608492533
Hrodna,53.69,23.83,31.98,98,11,8.43,BY,1608492533
Marsá Maţrūḩ,31.35,27.25,62.6,67,40,8.37,EG,1608492403
High Level,58.52,-117.14,-9.4,76,75,4.7,CA,1608492533
Buchanan,5.88,-10.05,77.0,88,40,3.36,LR,1608492533
Antalaha,-14.9,50.28,76.53,89,99,4.72,MG,1608492533
Yangi Marg`ilon,40.43,71.72,33.8,89,100,4.0,UZ,1608492533
Tabory,58.52,64.55,14.11,85,100,14.88,RU,1608492534
Ribeira Grande,38.52,-28.7,64.4,93,75,20.8,PT,1608492534
Ostrovnoy,68.05,39.51,26.76,97,100,19.37,RU,1608492534
Hervey Bay,-25.3,152.85,77.0,81,45,3.0,AU,1608492534
Cidreira,-30.18,-50.21,79.84,52,100,10.22,BR,1608492534
Willowmore,-33.29,23.49,69.62,71,0,16.8,ZA,1608492534
Parit Buntar,5.13,100.49,78.8,83,40,3.36,MY,1608492534
Xining,36.62,101.77,9.7,65,0,3.94,CN,1608492534
Independence,39.09,-94.42,50.0,42,1,10.29,US,1608492304
Nakhon Thai,17.1,100.84,60.28,68,83,4.34,TH,1608492534
Stillwater,36.12,-97.06,55.4,49,1,8.05,US,1608492534
Zeya,53.75,127.27,-8.79,88,100,0.67,RU,1608492534
Granada,37.25,-3.25,51.01,86,2,1.01,ES,1608492534
Ixtapa,20.7,-105.2,77.0,61,20,4.7,MX,1608492535
Shiyan,32.65,110.78,36.84,73,0,1.86,CN,1608492535
Haines Junction,60.75,-137.51,18.55,91,0,6.06,CA,1608492535
Kīranūr,10.57,78.79,71.6,94,20,6.93,IN,1608492535
Kuytun,54.34,101.5,14.4,95,100,2.06,RU,1608492535
Juneau,58.3,-134.42,39.0,74,75,11.41,US,1608492475
Solnechnyy,50.72,136.63,-5.89,83,0,2.75,RU,1608492535
Srednekolymsk,67.45,153.68,-37.12,83,1,1.63,RU,1608492535
Presidente Médici,-11.18,-61.9,88.45,63,56,5.44,BR,1608492536
Aasiaat,68.71,-52.87,2.84,82,85,9.24,GL,1608492536
